CM.ACH1.10
CM.APAC.10
CM.ARAUC.10
CM.ARGC.10
CM.ARMEC.10
CM.BAR2.10
CM.BET.10
CM.BLMC.10
CM.BOG.10
CM.BRJC.10
CM.CANAP.10
CM.CANSE.10
CM.CAP2.10
CM.CBETA.10
CM.CBOCA.10
CM.CBORD.10
CM.CBUCF.10
CM.CBUGA.10
CM.CBUIS.10
CM.CCALA.10
CM.CCUC2.10
CM.CCUC3.10
CM.CDAGU.10
CM.CECAL.10
CM.CFQNE.10
CM.CGARZ.10
CM.CGENO.10
CM.CGIR2.10
CM.CGUAD.10
CM.CGUAG.10
CM.CGUAP.10
CM.CHI.10
CM.CIBA3.10
CM.CIPIA.10
CM.CLBC.10
CM.CLEJA.10
CM.CMONT.10
CM.CNEIV.10
CM.CPAM3.10
CM.CPAMP.10
CM.CPER3.10
CM.CPGA1.10
CM.CPLA1.10
CM.CPLAT.10
CM.CPMGU.10
CM.CPOP2.10
CM.CPOP3.10
CM.CPOP5.10
CM.CPRAD.10
CM.CPTEJ.10
CM.CQUET.10
CM.CREAC.10
CM.CRICA.10
CM.CRU.10
CM.CSAGU.10
CM.CSAL1.10
CM.CSAMA.10
CM.CSAMU.10
CM.CSARD.10
CM.CSLUI.10
CM.CSONS.10
CM.CTOCH.10
CM.CTRUJ.10
CM.CTULU.10
CM.CTUN3.10
CM.CUFI.10
CM.CUIBA.10
CM.CUM.10
CM.CVER.10
CM.CVHER.10
CM.CVIL1.10
CM.CYOPA.10
CM.DBB.10
CM.FLO2.10
CM.GARC.10
CM.GRPC.10
CM.GUA.10
CM.GUY2C.10
CM.IBA1C.10
CM.JAMC.10
CM.MACC.10
CM.MAL.10
CM.MAN1C.10
CM.MEDEC.10
CM.MOCC.10
CM.MRND.10
CM.NIZA.10
CM.NOR.10
CM.OCA.10
CM.ORTC.10
CM.PAL.10
CM.PAM.10
CM.PAS1.10
CM.PAS2.10
CM.PDSC.10
CM.PIZC.10
CM.PLNC.10
CM.POP2.10
CM.PRV.10
CM.PTA.10
CM.PTB.10
CM.PTLC.10
CM.QUBC.10
CM.RAC2C.10
CM.RIO2C.10
CM.ROSC.10
CM.SAIC.10
CM.SCLC.10
CM.SJC.10
CM.SLNT.10
CM.SMAR.10
CM.SOL.10
CM.SPBC.10
CM.TAM.10
CM.TOL.10
CM.TUM.10
CM.TUM3C.10
CM.URE.10
CM.URI.10
CM.URMC.10
CM.VALLC.10
CM.VIL.10
CM.YOT.10
CM.YPLC.10
